Ticket_ID,Subject,Description,Category,Priority,Timestamp
130,App crashes on login,The app crashes when I try to log in.,Bug Report,Low,2025-03-05 19:16:00
131,Mobile widget,Would like a quick widget for mobile app.,Feature Request,Medium,2025-03-11 08:04:00
132,Payment not processed,Card charged but subscription inactive.,Billing Inquiry,Low,2025-04-13 21:38:00
133,Crash on checkout,App crashes during checkout process.,Bug Report,Low,2025-07-17 22:26:00
134,App crashes on login,The app crashes when I try to log in.,Bug Report,Medium,2025-09-28 14:48:00
135,Error 500 on dashboard,Dashboard throws internal server error.,Bug Report,High,2025-01-20 22:55:00
136,Refund request,Requesting a refund for wrong billing.,Billing Inquiry,High,2025-03-08 11:44:00
137,App freezes,The app freezes after last update.,Bug Report,High,2025-06-29 03:15:00
138,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,Medium,2025-05-18 05:20:00
139,Integration error,Error when integrating with third-party tool.,Technical Issue,Medium,2025-04-13 04:57:00
140,Mobile widget,Would like a quick widget for mobile app.,Feature Request,Medium,2025-02-24 01:49:00
141,App freezes,The app freezes after last update.,Bug Report,High,2025-06-28 04:07:00
142,App crashes on login,The app crashes when I try to log in.,Bug Report,High,2025-04-25 14:30:00
143,2FA issue,Two-factor authentication code not accepted.,Account Management,High,2025-08-04 08:10:00
144,Crash on checkout,App crashes during checkout process.,Bug Report,Medium,2025-04-13 21:38:00
145,VPN blocking service,VPN blocks the app; need help configuring.,Technical Issue,Medium,2025-04-30 18:40:00
146,App freezes,The app freezes after last update.,Bug Report,Medium,2025-03-18 10:49:00
147,Export to CSV,Need option to export reports as CSV.,Feature Request,High,2025-09-04 13:58:00
148,Slow performance,The app is running very slowly.,Technical Issue,Low,2025-03-17 16:51:00
149,Slow performance,The app is running very slowly.,Technical Issue,High,2025-01-09 13:30:00
150,Cannot update profile,Error while saving profile changes.,Account Management,Low,2025-08-12 20:50:00
151,Account locked,Account locked after multiple attempts.,Account Management,Low,2025-01-15 01:28:00
152,Duplicate charge,Charged twice for same subscription.,Billing Inquiry,Low,2025-06-25 16:11:00
153,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,Low,2025-07-05 11:39:00
154,Crash on checkout,App crashes during checkout process.,Bug Report,Low,2025-05-17 02:27:00
155,Integration error,Error when integrating with third-party tool.,Technical Issue,Medium,2025-09-17 06:45:00
156,Export to CSV,Need option to export reports as CSV.,Feature Request,Low,2025-08-24 03:54:00
157,Slow performance,The app is running very slowly.,Technical Issue,Medium,2025-04-12 01:28:00
158,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,Low,2025-06-14 04:02:00
159,Email not sending,Support emails are not being sent.,Technical Issue,Medium,2025-01-05 10:26:00
160,Add dark mode,Requesting a dark theme option.,Feature Request,Low,2025-06-15 02:12:00
161,Add dark mode,Requesting a dark theme option.,Feature Request,Low,2025-09-08 17:21:00
162,Slow performance,The app is running very slowly.,Technical Issue,High,2025-05-25 01:44:00
163,2FA issue,Two-factor authentication code not accepted.,Account Management,High,2025-05-29 16:08:00
164,2FA issue,Two-factor authentication code not accepted.,Account Management,Medium,2025-05-25 04:51:00
165,Export to CSV,Need option to export reports as CSV.,Feature Request,Medium,2025-08-24 11:12:00
166,Account locked,Account locked after multiple attempts.,Account Management,High,2025-09-18 10:03:00
167,Integration error,Error when integrating with third-party tool.,Technical Issue,Medium,2025-08-28 18:46:00
168,Multi-language support,Please support Spanish and French.,Feature Request,Low,2025-09-25 20:09:00
169,App crashes on login,The app crashes when I try to log in.,Bug Report,Low,2025-04-11 21:14:00
170,App crashes on login,The app crashes when I try to log in.,Bug Report,Medium,2025-06-05 23:42:00
171,2FA issue,Two-factor authentication code not accepted.,Account Management,Low,2025-06-03 11:42:00
172,2FA issue,Two-factor authentication code not accepted.,Account Management,Low,2025-06-20 05:31:00
173,2FA issue,Two-factor authentication code not accepted.,Account Management,Medium,2025-01-17 05:03:00
174,Email not sending,Support emails are not being sent.,Technical Issue,Low,2025-07-23 06:45:00
175,Account locked,Account locked after multiple attempts.,Account Management,Medium,2025-06-28 15:29:00
176,Error 500 on dashboard,Dashboard throws internal server error.,Bug Report,High,2025-02-28 08:09:00
177,Account locked,Account locked after multiple attempts.,Account Management,Low,2025-02-22 17:30:00
178,Crash on checkout,App crashes during checkout process.,Bug Report,High,2025-08-11 21:06:00
179,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,Medium,2025-02-28 12:27:00
180,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,Medium,2025-05-23 11:03:00
181,Crash on checkout,App crashes during checkout process.,Bug Report,Medium,2025-08-14 15:30:00
182,VPN blocking service,VPN blocks the app; need help configuring.,Technical Issue,Low,2025-05-07 03:15:00
183,Cannot update profile,Error while saving profile changes.,Account Management,Low,2025-02-06 21:14:00
184,Multi-language support,Please support Spanish and French.,Feature Request,Low,2025-04-02 15:51:00
185,Add dark mode,Requesting a dark theme option.,Feature Request,Medium,2025-08-04 14:48:00
186,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,Medium,2025-04-14 06:33:00
187,Integration error,Error when integrating with third-party tool.,Technical Issue,High,2025-07-25 01:32:00
188,App freezes,The app freezes after last update.,Bug Report,High,2025-01-15 06:33:00
189,App crashes on login,The app crashes when I try to log in.,Bug Report,Medium,2025-06-20 15:15:00
190,Account locked,Account locked after multiple attempts.,Account Management,Low,2025-02-06 15:18:00
191,Account locked,Account locked after multiple attempts.,Account Management,Low,2025-04-14 17:27:00
192,VPN blocking service,VPN blocks the app; need help configuring.,Technical Issue,High,2025-07-14 01:28:00
193,Cannot update profile,Error while saving profile changes.,Account Management,Medium,2025-01-12 14:12:00
194,Multi-language support,Please support Spanish and French.,Feature Request,Low,2025-09-28 10:40:00
195,Multi-language support,Please support Spanish and French.,Feature Request,Low,2025-04-24 19:20:00
196,Integration error,Error when integrating with third-party tool.,Technical Issue,Medium,2025-02-21 11:26:00
197,Crash on checkout,App crashes during checkout process.,Bug Report,Medium,2025-07-04 21:30:00
198,Account locked,Account locked after multiple attempts.,Account Management,Low,2025-05-01 03:54:00
199,2FA issue,Two-factor authentication code not accepted.,Account Management,Low,2025-07-03 03:11:00
200,Refund request,Requesting a refund for wrong billing.,Billing Inquiry,Medium,2025-09-19 15:12:00
201,Slow performance,The app is running very slowly.,Technical Issue,High,2025-07-25 11:22:00
202,Email not sending,Support emails are not being sent.,Technical Issue,High,2025-03-04 01:19:00
203,Error 500 on dashboard,Dashboard throws internal server error.,Bug Report,Medium,2025-07-18 18:56:00
204,Unable to reset password,Reset link not working.,Account Management,High,2025-07-14 05:05:00
205,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,Low,2025-01-18 12:46:00
206,Crash on checkout,App crashes during checkout process.,Bug Report,Low,2025-09-19 16:33:00
207,Duplicate charge,Charged twice for same subscription.,Billing Inquiry,Medium,2025-01-03 22:28:00
208,Cannot update profile,Error while saving profile changes.,Account Management,Low,2025-01-03 11:20:00
209,App crashes on login,The app crashes when I try to log in.,Bug Report,Low,2025-05-31 17:40:00
210,VPN blocking service,VPN blocks the app; need help configuring.,Technical Issue,Medium,2025-01-18 02:04:00
211,App crashes on login,The app crashes when I try to log in.,Bug Report,Medium,2025-09-08 08:42:00
212,Mobile widget,Would like a quick widget for mobile app.,Feature Request,High,2025-07-04 01:16:00
213,Export to CSV,Need option to export reports as CSV.,Feature Request,Medium,2025-03-15 05:11:00
214,Email not sending,Support emails are not being sent.,Technical Issue,High,2025-02-15 03:20:00
215,App crashes on login,The app crashes when I try to log in.,Bug Report,Low,2025-08-09 05:32:00
216,Integration error,Error when integrating with third-party tool.,Technical Issue,Low,2025-03-27 22:31:00
217,Payment not processed,Card charged but subscription inactive.,Billing Inquiry,Low,2025-01-06 22:00:00
218,Slow performance,The app is running very slowly.,Technical Issue,Medium,2025-09-12 04:01:00
219,Refund request,Requesting a refund for wrong billing.,Billing Inquiry,Medium,2025-03-08 15:03:00
220,Unable to reset password,Reset link not working.,Account Management,Low,2025-01-02 21:57:00
221,App crashes on login,The app crashes when I try to log in.,Bug Report,High,2025-07-04 07:47:00
222,Crash on checkout,App crashes during checkout process.,Bug Report,Medium,2025-08-23 06:36:00
223,App freezes,The app freezes after last update.,Bug Report,High,2025-05-23 06:30:00
224,App crashes on login,The app crashes when I try to log in.,Bug Report,Low,2025-08-11 17:51:00
225,Refund request,Requesting a refund for wrong billing.,Billing Inquiry,Low,2025-05-25 10:09:00
226,Add dark mode,Requesting a dark theme option.,Feature Request,Low,2025-04-27 02:42:00
227,Add dark mode,Requesting a dark theme option.,Feature Request,Medium,2025-02-04 17:26:00
228,VPN blocking service,VPN blocks the app; need help configuring.,Technical Issue,High,2025-08-28 07:40:00
229,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,Low,2025-04-21 22:20:00
230,App freezes,The app freezes after last update.,Bug Report,Low,2025-07-15 22:47:00
231,2FA issue,Two-factor authentication code not accepted.,Account Management,Low,2025-07-25 09:04:00
232,VPN blocking service,VPN blocks the app; need help configuring.,Technical Issue,Low,2025-08-06 19:21:00
233,Duplicate charge,Charged twice for same subscription.,Billing Inquiry,Medium,2025-04-09 00:36:00
234,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,High,2025-01-09 08:02:00
235,2FA issue,Two-factor authentication code not accepted.,Account Management,Low,2025-03-10 05:58:00
236,Error 500 on dashboard,Dashboard throws internal server error.,Bug Report,High,2025-03-20 10:22:00
237,Refund request,Requesting a refund for wrong billing.,Billing Inquiry,Medium,2025-04-25 03:15:00
238,Email not sending,Support emails are not being sent.,Technical Issue,Medium,2025-03-17 12:38:00
239,Error 500 on dashboard,Dashboard throws internal server error.,Bug Report,Low,2025-04-06 00:14:00
240,Refund request,Requesting a refund for wrong billing.,Billing Inquiry,High,2025-04-26 14:07:00
241,Add dark mode,Requesting a dark theme option.,Feature Request,High,2025-07-01 22:01:00
242,Crash on checkout,App crashes during checkout process.,Bug Report,Medium,2025-03-18 23:12:00
243,VPN blocking service,VPN blocks the app; need help configuring.,Technical Issue,Medium,2025-02-13 17:28:00
244,VPN blocking service,VPN blocks the app; need help configuring.,Technical Issue,Low,2025-05-27 02:47:00
245,VPN blocking service,VPN blocks the app; need help configuring.,Technical Issue,High,2025-06-01 05:39:00
246,Integration error,Error when integrating with third-party tool.,Technical Issue,High,2025-05-21 02:29:00
247,Duplicate charge,Charged twice for same subscription.,Billing Inquiry,High,2025-04-05 06:51:00
248,2FA issue,Two-factor authentication code not accepted.,Account Management,Low,2025-06-16 23:03:00
249,Email not sending,Support emails are not being sent.,Technical Issue,Medium,2025-05-22 07:53:00
250,Error 500 on dashboard,Dashboard throws internal server error.,Bug Report,Medium,2025-08-12 02:24:00
251,Slow performance,The app is running very slowly.,Technical Issue,Low,2025-06-22 03:59:00
252,Account locked,Account locked after multiple attempts.,Account Management,High,2025-04-18 09:34:00
253,Export to CSV,Need option to export reports as CSV.,Feature Request,Medium,2025-01-25 08:52:00
254,Integration error,Error when integrating with third-party tool.,Technical Issue,High,2025-08-31 00:01:00
255,Unable to reset password,Reset link not working.,Account Management,Medium,2025-04-03 05:31:00
256,2FA issue,Two-factor authentication code not accepted.,Account Management,Low,2025-05-18 17:40:00
257,Mobile widget,Would like a quick widget for mobile app.,Feature Request,Low,2025-06-14 07:10:00
258,App freezes,The app freezes after last update.,Bug Report,Low,2025-05-01 14:50:00
259,Multi-language support,Please support Spanish and French.,Feature Request,Low,2025-02-02 03:30:00
260,App freezes,The app freezes after last update.,Bug Report,High,2025-02-12 12:33:00
261,Slow performance,The app is running very slowly.,Technical Issue,High,2025-04-09 23:35:00
262,Slow performance,The app is running very slowly.,Technical Issue,High,2025-08-18 05:05:00
263,Integration error,Error when integrating with third-party tool.,Technical Issue,High,2025-03-26 12:18:00
264,Add dark mode,Requesting a dark theme option.,Feature Request,Low,2025-03-06 14:34:00
265,Multi-language support,Please support Spanish and French.,Feature Request,High,2025-09-08 00:19:00
266,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,Low,2025-03-08 17:44:00
267,App freezes,The app freezes after last update.,Bug Report,Medium,2025-06-14 14:21:00
268,VPN blocking service,VPN blocks the app; need help configuring.,Technical Issue,Medium,2025-09-27 22:37:00
269,Mobile widget,Would like a quick widget for mobile app.,Feature Request,Low,2025-07-23 11:56:00
270,Payment not processed,Card charged but subscription inactive.,Billing Inquiry,Medium,2025-06-12 13:22:00
271,VPN blocking service,VPN blocks the app; need help configuring.,Technical Issue,High,2025-08-17 05:03:00
272,Email not sending,Support emails are not being sent.,Technical Issue,High,2025-04-16 23:16:00
273,Integration error,Error when integrating with third-party tool.,Technical Issue,High,2025-06-15 11:22:00
274,Payment not processed,Card charged but subscription inactive.,Billing Inquiry,Low,2025-07-25 01:30:00
275,Multi-language support,Please support Spanish and French.,Feature Request,Low,2025-02-05 02:36:00
276,App crashes on login,The app crashes when I try to log in.,Bug Report,Medium,2025-07-30 05:28:00
277,Crash on checkout,App crashes during checkout process.,Bug Report,Low,2025-07-17 12:35:00
278,Export to CSV,Need option to export reports as CSV.,Feature Request,High,2025-03-04 15:34:00
279,Integration error,Error when integrating with third-party tool.,Technical Issue,High,2025-09-06 08:51:00
280,App crashes on login,The app crashes when I try to log in.,Bug Report,Medium,2025-06-24 15:32:00
281,Error 500 on dashboard,Dashboard throws internal server error.,Bug Report,High,2025-07-30 07:23:00
282,Email not sending,Support emails are not being sent.,Technical Issue,Medium,2025-04-18 01:16:00
283,Mobile widget,Would like a quick widget for mobile app.,Feature Request,High,2025-07-24 13:09:00
284,Refund request,Requesting a refund for wrong billing.,Billing Inquiry,Low,2025-03-30 09:41:00
285,Duplicate charge,Charged twice for same subscription.,Billing Inquiry,High,2025-04-04 03:18:00
286,Slow performance,The app is running very slowly.,Technical Issue,Low,2025-08-06 10:54:00
287,Refund request,Requesting a refund for wrong billing.,Billing Inquiry,Low,2025-03-24 23:49:00
288,Error 500 on dashboard,Dashboard throws internal server error.,Bug Report,Medium,2025-09-08 16:41:00
289,App freezes,The app freezes after last update.,Bug Report,Medium,2025-04-27 10:06:00
290,Account locked,Account locked after multiple attempts.,Account Management,High,2025-07-02 08:41:00
291,App crashes on login,The app crashes when I try to log in.,Bug Report,Low,2025-01-06 07:57:00
292,Integration error,Error when integrating with third-party tool.,Technical Issue,Medium,2025-06-08 22:29:00
293,Crash on checkout,App crashes during checkout process.,Bug Report,Medium,2025-06-12 19:37:00
294,2FA issue,Two-factor authentication code not accepted.,Account Management,Medium,2025-04-21 21:26:00
295,Error 500 on dashboard,Dashboard throws internal server error.,Bug Report,Medium,2025-02-01 07:51:00
296,Refund request,Requesting a refund for wrong billing.,Billing Inquiry,High,2025-04-19 17:03:00
297,2FA issue,Two-factor authentication code not accepted.,Account Management,Medium,2025-08-15 05:51:00
298,App freezes,The app freezes after last update.,Bug Report,High,2025-05-24 13:25:00
299,Add dark mode,Requesting a dark theme option.,Feature Request,Medium,2025-02-20 00:11:00
300,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,High,2025-04-26 20:06:00
301,2FA issue,Two-factor authentication code not accepted.,Account Management,Medium,2025-09-01 12:15:00
302,Multi-language support,Please support Spanish and French.,Feature Request,Low,2025-02-28 01:38:00
303,Payment not processed,Card charged but subscription inactive.,Billing Inquiry,Medium,2025-05-05 09:51:00
304,Email not sending,Support emails are not being sent.,Technical Issue,Low,2025-08-21 07:53:00
305,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,High,2025-08-19 03:36:00
306,Mobile widget,Would like a quick widget for mobile app.,Feature Request,Medium,2025-03-03 18:09:00
307,Unable to reset password,Reset link not working.,Account Management,High,2025-01-09 20:34:00
308,Slow performance,The app is running very slowly.,Technical Issue,Low,2025-05-25 02:30:00
309,Payment not processed,Card charged but subscription inactive.,Billing Inquiry,Low,2025-02-09 02:10:00
310,Add dark mode,Requesting a dark theme option.,Feature Request,Low,2025-01-16 15:43:00
311,Email not sending,Support emails are not being sent.,Technical Issue,High,2025-01-29 20:12:00
312,Slow performance,The app is running very slowly.,Technical Issue,Medium,2025-06-11 08:13:00
313,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,Medium,2025-01-03 09:39:00
314,Email not sending,Support emails are not being sent.,Technical Issue,Medium,2025-08-16 11:59:00
315,2FA issue,Two-factor authentication code not accepted.,Account Management,High,2025-07-30 00:09:00
